subject,Unknown,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,Optic-Chiasm,Vermis
0mo_template_14.nii.gz,1.0,1.0,1.0,1.0,131.0,131.0,131.0,1.0,131.0,1.0,1.0,1.4142135623730951,131.0,131.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,131.0,131.0,1.0,1.0,1.4142135623730951,131.0,131.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,131.0,131.0
2mo_sub-684448.nii.gz,1.0,1.0,1.0,1.0,141.0,141.0,141.0,1.4142135623730951,141.0,1.0,1.0,1.0,141.0,141.0,1.0,1.0,1.1863961030678174,1.0,1.0,1.0,1.0,2.0,1.4142135623730951,141.0,141.0,1.0,1.0,1.0,141.0,141.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.0,2.23606797749979,1.0,141.0,141.0
3mo_sub-469090.nii.gz,1.0,1.0,1.0,1.0,152.0,152.0,152.0,1.0,152.0,1.0,1.0,1.0,152.0,152.0,1.0,1.0,2.449489742783178,1.0,1.4142135623730951,1.0,1.0,1.0,1.0,152.0,152.0,1.0,1.0,1.0,152.0,152.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,1.0,1.0,1.4142135623730951,152.0,152.0
4mo_sub-125632.nii.gz,5.0990195135927845,2.23606797749979,27.762383528128037,3.0,188.0,188.0,188.0,3.1622776601683795,188.0,3.4641016151377544,3.3166247903554,5.0990195135927845,188.0,188.0,8.306623862918075,3.3166247903554,2.888477631085008,3.741657386773941,7.123838274373506,5.196152422706632,4.123105625617661,3.741657386773941,3.6055512754639887,188.0,188.0,3.0,3.0,3.3166247903554,188.0,188.0,7.071067811865476,2.0,2.23606797749979,40.66939881532551,2.23606797749979,2.449489742783178,2.6957990410591277,2.449489742783178,2.8284271247461903,188.0,188.0
5mo_sub-552990.nii.gz,2.0,1.0,1.0,1.0,1.4142135623730951,168.0,1.7320508075688772,168.0,168.0,1.0,1.0,1.0,1.0,4.358898943540674,2.8284271247461903,1.0,1.4142135623730951,2.23606797749979,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,168.0,2.0,1.0,1.0,1.0,168.0,4.898979485566356,3.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,168.0,2.449489742783178
6mo_sub-116845.nii.gz,1.0,1.0,2.23606797749979,1.0,1.0,154.0,1.0,154.0,154.0,1.0,1.0,1.0,2.2894234188206366,2.449489742783178,1.7320508075688772,1.0,1.0,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,3.0,1.0,154.0,1.4142135623730951,1.0,1.0,1.0,154.0,4.0,2.449489742783178,1.0,3.0,2.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.23606797749979,1.0,154.0,2.0
7mo_updated_sub-470437.nii.gz,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,156.0,1.0,156.0,156.0,1.4142135623730951,1.4142135623730951,1.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.0,2.0,1.0,1.0,1.0,1.0,156.0,2.23606797749979,1.4142135623730951,1.4142135623730951,1.0,156.0,1.7320508075688772,1.4142135623730951,1.0,1.0,1.7320508075688772,2.0,1.0,1.0,2.23606797749979,1.0,156.0,2.23606797749979
8mo_sub-890518.nii.gz,2.23606797749979,1.0,1.0,1.0,1.0,188.0,1.0,188.0,188.0,1.0,1.4142135623730951,1.0,13.783182345364189,1.4142135623730951,1.4142135623730951,1.0,1.0,2.0,2.0,1.0,1.0,2.23606797749979,1.0,188.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,188.0,1.4142135623730951,1.4142135623730951,1.0,1.0,1.4142135623730951,2.23606797749979,1.4142135623730951,1.4142135623730951,3.741657386773941,1.0,188.0,3.0
0mo_template_15.nii.gz,1.4142135623730951,1.0,1.4142135623730951,1.0,142.0,142.0,142.0,1.0,142.0,1.0,1.0,1.0,142.0,142.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.4142135623730951,1.0,1.0,1.020710678118636,142.0,142.0,1.0,1.0,1.0,142.0,142.0,1.4142135623730951,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.0,1.4142135623730951,1.0,142.0,142.0
0mo_template_17.nii.gz,1.0,1.0,1.0,1.0,136.0,136.0,136.0,1.2485281374238193,136.0,1.0,1.0,1.0,136.0,136.0,1.0,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,136.0,136.0,1.0,1.0,1.0,136.0,136.0,1.4142135623730951,1.0,1.0,1.0,1.0,1.4142135623730951,1.0,1.4142135623730951,1.0,136.0,136.0
