subject,Unknown,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,Optic-Chiasm,Vermis
0mo_template_07.nii.gz,0.9901983971558009,0.8437499835205082,0.8093023067604115,0.9144893103284404,0.0,0.0,0.0,0.8181818157188988,0.0,0.8960104255474921,0.8613338100581919,0.8628350281455711,0.0,0.0,0.9063349454474384,0.9345896779504879,0.8571428532801132,0.8631153039004877,0.8006405059996757,0.8357173782587022,0.8676277736877094,0.7169810982556085,0.8484848406934358,0.0,0.0,0.8932758021745187,0.8615566352221214,0.8994990278095297,0.0,0.0,0.9057564466994691,0.934316661748886,0.8569002086755829,0.8451992134382782,0.7880149753706743,0.8472485728308891,0.8372614945312964,0.4697986261880117,0.8126561131335878,0.0,0.0
0mo_template_12.nii.gz,0.9923576260741004,0.8283752670852342,0.7431906470196372,0.91329957537119,0.0,0.0,0.0,0.8791999964831999,0.0,0.8954314890859251,0.8503960622364379,0.8384396436657632,0.0,0.0,0.9205497814813612,0.9349746546922888,0.8718749954589844,0.8751702184513379,0.8772635726633443,0.8193146374905782,0.8496042104273851,0.6962962447187967,0.8418891083994958,0.0,0.0,0.9006977716654541,0.8600389386270144,0.8776112346540644,0.0,0.0,0.9189411597044704,0.913759832397566,0.8646616494916131,0.8479457820925633,0.8135593128411377,0.8303921527921954,0.829447842583462,0.7391303812224361,0.8061874357944728,0.0,0.0
1mo_sub-439083.nii.gz,0.9905373632284944,0.8899082466753642,0.9176755336843156,0.9539515051680864,0.0,0.0,0.0,0.8958288750891361,0.0,0.8870112248176654,0.8513172207893243,0.908680019611012,0.0,0.0,0.9643212742105538,0.9438069516167676,0.8593588395569833,0.8317107070049772,0.8745454465950414,0.8396156657811691,0.8713592127262232,0.7114093482275605,0.8913324651272156,0.0,0.0,0.8892522532866743,0.860832493860091,0.8657901932815801,0.0,0.0,0.954542877924802,0.9521795098839624,0.8180661551588226,0.8875555535832099,0.8302207060252912,0.8903576948275361,0.8849372292370583,0.6825396283698707,0.8836601249433979,0.0,0.0
3mo_sub-116845.nii.gz,0.9962581307649956,0.9268292588736864,0.9066455624474244,0.9623294438588444,0.0,0.0,0.0,0.8999571843871027,0.0,0.9211158507759112,0.9256251062777956,0.912182678352748,0.0,0.0,0.9729044867829454,0.9631623682607238,0.8761711803591512,0.9048794362922358,0.8747081643991582,0.9123335822347812,0.905871380187592,0.9025640562787663,0.9258496347793532,0.0,0.0,0.9262967982499491,0.9303234332530737,0.8879012334717269,0.0,0.0,0.9735723868768502,0.9594604827161776,0.8508663340010323,0.9048859920115864,0.8773800390146227,0.9239565439566708,0.9244851188063684,0.9047618509070326,0.9194699239578497,0.0,0.0
4mo_sub-439083.nii.gz,0.9909482151738038,0.8329092380584459,0.8815592137814152,0.8820085561348747,0.0,0.0,0.0,0.0,0.0,0.7533461281394632,0.7703465562825795,0.7011283121655486,0.0,0.0,0.8590063784279927,0.8314886977151297,0.7343283567476053,0.6073761841783432,0.6222509662208864,0.6301006872546351,0.7475082994392999,0.2918454810366746,0.4828075133541031,0.0,0.0,0.7525691099754963,0.7637060812719922,0.6037562979801233,0.0,0.0,0.7929575078921509,0.8709877081342403,0.6973330053894471,0.7244776108589887,0.602678566944356,0.631840794273519,0.7552447493764977,0.2204081542690549,0.5519667395204133,0.0,0.0
5mo_sub-295081.nii.gz,0.9952154565183804,0.9158878419075904,0.898251185228528,0.9588426835216768,0.8717532396773277,0.0,0.8017620792175295,0.0,0.0,0.8986354066545185,0.8772507655366706,0.8742088590304414,0.6552567076954351,0.8942145260829661,0.9491855673766924,0.9546247810169068,0.9196617319949584,0.8911901970665255,0.8641425351263138,0.8831332893595846,0.8753056181216038,0.5842696465092796,0.9254442979509226,0.0,0.6691176421388408,0.9004150872043288,0.8772586829919128,0.8725511757152737,0.013513512600438338,0.8858524270697368,0.9506675754533914,0.955283445845548,0.9302723986118342,0.8700729915460212,0.8206131714245716,0.8917964675144414,0.8579881606036204,0.6733166914384865,0.9122296154071764,0.0,0.7461486889072425
6mo_sub-277762.nii.gz,0.9917813797140064,0.9263888824556328,0.9003689981527122,0.9511220710475352,0.8662952585912587,0.0,0.8028673547359372,0.0,0.0,0.8922314621493039,0.8651016517960877,0.8815330997654862,0.6205128046022358,0.8816219743234402,0.9488887880238576,0.934236126597995,0.9122931846427804,0.8535529794031091,0.8499142330621173,0.8614589527699087,0.8664215633184953,0.6411483100203754,0.9263199351333335,0.0,0.6888499667901344,0.8916475084507559,0.8702760695145432,0.8788398551709967,0.0,0.8929862609427095,0.9491798096829585,0.9504823143484871,0.9358653990740208,0.8825631535643091,0.7749077443117605,0.8845943466096731,0.8052568649626233,0.7041036564988411,0.8996738904667679,0.0,0.6964504241343303
7mo_updated_sub-657158.nii.gz,0.9918490674256284,0.9011249206564541,0.919775161370592,0.9174511219598792,0.8665549923698772,0.0,0.8374999738281259,0.0,0.0,0.8366862965989895,0.8809048479884719,0.8854301763019562,0.6759259102794929,0.8938099123922049,0.9556415810212212,0.954821413739004,0.8943467506258586,0.9181017471827242,0.8905056351745884,0.8865365516266349,0.8205714238824491,0.7490908954710747,0.9229125851470312,0.0,0.7410244100477529,0.8487522823733262,0.8878690073715023,0.893910006891088,0.0,0.9025886993703968,0.9584709821608725,0.9601411492821068,0.8954753709973148,0.9203276235786452,0.8693516656711607,0.8936390262133442,0.8672268858978887,0.7269624449323815,0.9171348298505358,0.0,0.7287766620427659
8mo_sub-372377.nii.gz,0.9929322743746988,0.9196675836588116,0.9151614618765108,0.9583369798869422,0.8264654624116919,0.0,0.7214285456632663,0.0,0.0,0.8886510889357337,0.8749330632935056,0.9057381732840016,0.7641025445101912,0.8753648061155667,0.9462988402150646,0.9414029406780604,0.9318769748032812,0.8852997524154124,0.8700947196546186,0.8998313644184969,0.8771929781813207,0.7451819968911778,0.9159212861937562,0.0,0.6659116610084278,0.8965038146825675,0.8648543290709669,0.9226006180049012,0.0,0.8829217606625736,0.9496136160054872,0.9598298669188484,0.9285520226452704,0.8906521189057127,0.8364167437370168,0.8945797315089086,0.775073024464104,0.5981981874198525,0.9188584202222376,0.0,0.7824757983572298
0mo_template_09.nii.gz,0.9861394115046264,0.8094803937148551,0.8313069845645366,0.9185865813670788,0.0,0.0,0.0,0.8372377249190514,0.0,0.894332581594665,0.8544055327890515,0.8683433689120992,0.0,0.0,0.9273591307389498,0.9412237024721184,0.8513913533114524,0.8848920844585441,0.8776671345827374,0.8315481959378507,0.8041450693870977,0.7686566877366908,0.8918918861525619,0.0,0.0,0.8926950276174159,0.8743972445063423,0.8788365276429914,0.0,0.0,0.9358744532704738,0.9306717461023178,0.8978593244713782,0.8710816757812767,0.8583106208561947,0.8359985093492059,0.7960395960788159,0.8308823223940324,0.8875968934909761,0.0,0.0
0mo_template_14.nii.gz,0.9919329239653291,0.8582375314513884,0.7989821679648303,0.94217207245682,0.0,0.0,0.0,0.8803287085764542,0.0,0.9212067031881348,0.8851280861767469,0.8318005296713662,0.0,0.0,0.943659975941601,0.9473318660176736,0.8990169754288785,0.8988608874737283,0.899824245168504,0.8498451979495154,0.8698710331785342,0.7663551043759297,0.8667883132592308,0.0,0.0,0.9217986971992164,0.8870378531972422,0.8151525766132014,0.0,0.0,0.9457039431578852,0.9438618125307072,0.8809849481031238,0.9124112245099384,0.8866328182179964,0.8539822971062729,0.8756875591233492,0.7040815967305307,0.8703220115724803,0.0,0.0
