subject,Unknown,Left-Cerebral-Exterior,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,WM-hypointensities,Optic-Chiasm,Vermis
0mo_template_07.nii.gz,2.23606797749979,1.4142135623730951,7.068519665147811,2.0,136.0,136.0,136.0,5.0,136.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,136.0,136.0,2.23606797749979,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.5572403227111935,1.4142135623730951,136.0,136.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,136.0,136.0,2.23606797749979,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.4142135623730951,1.4142135623730951,2.23606797749979,1.8767433714816737,136.0,136.0
0mo_template_12.nii.gz,2.0,1.4142135623730951,2.23606797749979,2.23606797749979,136.0,136.0,136.0,1.4142135623730951,136.0,1.4142135623730951,1.4142135623730951,4.646201333227733,136.0,136.0,2.23606797749979,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4142135623730951,2.0,1.4142135623730951,1.4470877389781565,1.7256940626649673,136.0,136.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,136.0,136.0,3.0,2.0,1.4142135623730951,1.4142135623730951,2.0,2.0,1.4142135623730951,2.366667648350373,1.4142135623730951,136.0,136.0
1mo_sub-439083.nii.gz,5.0990195135927845,1.0,1.0,1.0,133.0,133.0,133.0,3.1622776601683795,133.0,1.7320508075688772,1.4142135623730951,1.4142135623730951,133.0,133.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,2.449489742783178,1.4142135623730951,2.23606797749979,1.4142135623730951,1.4142135623730951,1.4142135623730951,133.0,133.0,2.0,1.4142135623730951,4.898979485566356,133.0,133.0,1.4142135623730951,1.4142135623730951,2.278752330556477,2.23606797749979,2.0546217963246542,1.4142135623730951,1.4142135623730951,2.23606797749979,1.4142135623730951,133.0,133.0
3mo_sub-116845.nii.gz,1.0,1.1449747468305926,1.0,1.4142135623730951,145.0,145.0,145.0,1.7320508075688772,145.0,1.4142135623730951,1.0,2.23606797749979,145.0,145.0,11.04536101718726,1.0,2.0,1.7320508075688772,1.4142135623730951,1.0,1.4142135623730951,1.3437972567696683,1.4142135623730951,145.0,145.0,1.4142135623730951,1.4142135623730951,2.449489742783178,145.0,145.0,1.4142135623730951,1.4142135623730951,2.0,1.7320508075688772,2.144001466274875,1.0,1.4142135623730951,1.0,1.0,145.0,145.0
4mo_sub-439083.nii.gz,6.164414002968977,2.0,1.4142135623730951,4.0,141.0,141.0,141.0,141.0,141.0,2.8284271247461903,2.23606797749979,22.216804709056948,141.0,141.0,8.602325267042627,5.0990195135927845,8.21930867736525,4.358898943540674,3.6055512754639887,3.741657386773941,3.741657386773941,5.0,11.163277245091932,141.0,141.0,2.449489742783178,2.23606797749979,14.198228758386334,141.0,141.0,8.54400374531753,5.385164807134505,7.994022528711407,3.741657386773941,5.950487072028771,7.95495531995512,3.556043894349804,6.038898389240162,10.246950765959598,141.0,141.0
5mo_sub-295081.nii.gz,2.23606797749979,1.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,172.0,1.0,172.0,172.0,1.7320508075688772,1.4142135623730951,3.1557865537616503,42.43088459232101,3.1622776601683795,2.23606797749979,1.6525914962699315,1.4142135623730951,2.23606797749979,2.23606797749979,1.4142135623730951,1.4142135623730951,2.9450966799187817,1.4142135623730951,172.0,2.23606797749979,1.4142135623730951,1.4142135623730951,3.254885938280577,10.327607333576056,3.9354143466934848,3.0,1.0,1.4142135623730951,2.23606797749979,2.0,1.4142135623730951,1.4142135623730951,2.2744838952508006,1.4142135623730951,172.0,2.23606797749979
6mo_sub-277762.nii.gz,4.242640687119285,1.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,154.0,1.6494131238179768,154.0,154.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,50.698619092377214,5.0,3.0,1.4142135623730951,1.4142135623730951,2.23606797749979,3.0,2.0,2.0,2.0,1.4142135623730951,154.0,2.8284271247461903,1.4142135623730951,1.4142135623730951,1.7320508075688772,154.0,3.6055512754639887,3.1622776601683795,1.7320508075688772,1.0,3.0,3.0,2.0,2.23606797749979,1.7347302994931861,2.272349677597981,154.0,2.23606797749979
7mo_updated_sub-657158.nii.gz,4.123105625617661,1.4142135623730951,2.14872282582484,3.3166247903554,1.4142135623730951,162.0,1.0,162.0,162.0,4.123105625617661,2.449489742783178,5.840315962553247,46.13848634450584,3.741657386773941,3.0,1.4142135623730951,2.8284271247461903,1.4142135623730951,1.7320508075688772,2.0,3.107103255711125,3.5997727457618227,1.0,162.0,3.4908881548870365,3.6055512754639887,2.449489742783178,3.6055512754639887,162.0,3.1622776601683795,2.449489742783178,1.4142135623730951,2.449489742783178,1.4142135623730951,3.1622776601683795,2.1676082640248597,2.3150340306546444,4.104033213675471,1.5032079910279776,162.0,2.23606797749979
8mo_sub-372377.nii.gz,3.6055512754639887,1.0,1.057989898732275,1.4142135623730951,1.4142135623730951,162.0,1.4142135623730951,162.0,162.0,1.7320508075688772,1.4142135623730951,2.23606797749979,53.196512602716034,5.0,4.0,1.4142135623730951,1.4142135623730951,1.7400892833418644,2.8284271247461903,1.4142135623730951,1.7320508075688772,2.23606797749979,1.4142135623730951,162.0,2.449489742783178,2.0,1.7320508075688772,1.4142135623730951,162.0,3.741657386773941,3.6055512754639887,1.4142135623730951,1.4142135623730951,2.23606797749979,3.6055512754639887,1.4142135623730951,2.23606797749979,5.489799582262512,1.4682458940564012,162.0,2.23606797749979
0mo_template_09.nii.gz,3.0,1.4142135623730951,1.7320508075688772,1.4142135623730951,133.0,133.0,133.0,2.23606797749979,133.0,1.7320508075688772,2.23606797749979,1.4142135623730951,133.0,133.0,2.0,1.4142135623730951,2.0,1.7320508075688772,1.4142135623730951,3.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,133.0,133.0,2.0,1.4142135623730951,1.4142135623730951,133.0,133.0,2.0,1.4142135623730951,1.4142135623730951,1.7320508075688772,1.7320508075688772,2.0,2.23606797749979,1.4142135623730951,1.0,133.0,133.0
